Year,Mass,Dia,Light,Hue,Analyst,Mint
1997,2.49,0.745173450469758,150.43,67.67,KMC,D
1977,3.08,0.737371446708033,96.94,70.13,KMC,N
1992,2.45,0.73525661734258,105.05,67.82,KMC,D
2008,2.47,0.717723651604115,116.43,68.49,KMC,N
2016,2.48,0.741622528564935,158.07,68.53,KMC,D
1979,3.06,0.721212091163455,83.64,68.38,KMC,D
2000,2.49,0.729907104552803,90.56,65.91,KMC,D
1980,3.12,0.641094843029345,67.18,68.43,KMC,N
2015,2.47,0.716391404496737,78.14,64.52,KMC,D
1976,3.05,0.720768600116116,70.78,67.36,KMC,D
1980,3.06,0.761986452682467,51.84,76.21,MKM,D
1971,3.05,0.773749379350328,56.96,76.28,MKM,S
2008,2.50,0.763643376614546,94.24,72.42,MKM,D
1969,3.10,0.771527463330403,42.16,76.04,MKM,S
2004,2.48,0.766636357962046,104.42,72.86,MKM,D
1972,3.07,0.761603491337834,54.02,76.56,MKM,N
1966,3.05,0.768760432758222,59.30,76.07,MKM,N
2006,2.50,0.762923524636982,71.89,72.18,MKM,D
1945,3.16,0.765053782955705,39.05,74.73,MKM,S
1982,3.04,0.762011364988586,56.34,75.64,MKM,D
1980,3.10,0.764715356830388,95.28,73.95,acs,N
2020,2.50,0.770278891043487,115.48,73.28,acs,D
1970,3.06,0.765485240888492,66.83,76.56,acs,D
1973,3.11,0.768029647928282,69.26,76.71,acs,S
1998,2.48,0.751995201647438,56.74,79.61,acs,D
1997,2.49,0.765359091175134,121.14,72.44,acs,D
2007,2.47,0.768781241118437,94.92,73.29,acs,D
1989,2.48,0.754517955794365,62.70,74.11,acs,N
1991,2.45,0.767418853592646,81.67,71.89,acs,D
2019,2.53,0.760599019200516,71.64,71.78,acs,D
2002,2.52,0.777661197543288,99.21,72.11,PHN,D
2006,2.50,0.760187358584385,120.94,72.93,PHN,D
1990,2.50,0.735082236047806,78.46,73.11,PHN,D
1997,2.51,0.762170332557807,91.63,72.07,PHN,D
1996,2.48,0.781562363210144,84.98,71.05,PHN,D
1980,3.10,0.765899831728088,51.53,73.88,PHN,D
1968,3.13,0.756948031497227,63.00,76.02,PHN,N
1967,3.10,0.751884281108793,47.40,75.35,PHN,N
1981,3.13,0.764006935778106,45.52,75.77,PHN,D
1981,3.12,0.762841909292077,43.55,75.53,PHN,D
2006,2.50,0.759384551748281,97.02,71.74,LEG,D
1958,3.00,0.750498698659693,62.31,76.38,LEG,D
2003,2.50,0.751026899571171,100.45,72.43,LEG,D
1982,3.09,0.755689139406907,49.33,74.52,LEG,D
2015,2.48,0.762010344147052,67.82,71.23,LEG,D
1968,3.11,0.752048366075196,64.40,74.05,LEG,D
2017,2.53,0.739632456189548,100.24,73.94,LEG,D
1973,3.05,0.732731945050936,48.91,75.62,LEG,D
2014,2.53,0.74799756790633,60.44,71.42,LEG,D
1973,3.13,0.758793818238805,48.52,74.53,LEG,S
1976,3.11,0.745978763907813,89.22,74.16,BQH,D
2004,2.50,0.756972945960398,103.80,69.08,BQH,D
2014,2.50,0.758637630745563,97.16,69.53,BQH,D
1978,3.11,0.754755686346656,79.67,72.29,BQH,D
2015,2.46,0.74168359259972,82.01,70.62,BQH,D
1975,3.11,0.744827494752042,88.30,71.06,BQH,D
1991,2.51,0.759204641563748,84.96,69.60,BQH,D
2006,2.49,0.752987093628559,105.97,69.06,BQH,D
2000,2.53,0.758114404769693,75.12,70.78,BQH,D
2018,2.49,0.746983456813247,98.48,71.07,BQH,D
1937,3.12,0.739055389526678,56.76,74.69,EIG,D
1966,3.14,0.754695112486859,64.71,74.93,EIG,N
1976,3.12,0.753347769239235,57.01,73.10,EIG,D
1980,3.09,0.762786168456757,56.67,73.45,EIG,N
1982,2.53,0.765215718804735,61.08,70.69,EIG,N
1983,2.55,0.746771329013454,69.43,71.38,EIG,D
1993,2.51,0.760703676870422,70.29,70.86,EIG,D
2007,2.48,0.752001270204184,69.34,70.50,EIG,D
2012,2.51,0.755413433627252,57.40,69.60,EIG,D
2015,2.53,0.776040613645956,66.42,68.78,EIG,D
1958,3.05,0.748393935498873,76.45,75.91,BMY,D
1985,2.57,0.752470631266762,70.33,74.77,BMY,D
2015,2.49,0.741496454784266,106.91,71.51,BMY,D
1999,2.48,0.763221907929995,142.71,71.48,BMY,D
2017,2.50,0.638346595457897,136.57,72.36,BMY,P
1963,3.12,0.748628568093138,69.93,73.14,BMY,D
1975,3.10,0.753388234332612,62.59,74.63,BMY,N
1970,3.12,0.752758350763466,59.74,72.86,BMY,N
1989,2.51,0.759320600708666,57.20,73.64,BMY,D
1994,2.49,0.751138517199899,67.20,73.80,BMY,N
1982,3.11,0.741346026582837,50.12,73.04,MMG ,N
1982,3.11,0.74653988436854,61.79,75.34,MMG ,D
1983,2.50,0.740975455683797,51.14,70.62,MMG ,D
2011,2.48,0.754355065583489,66.92,71.58,MMG ,D
1996,2.51,0.743486295083033,58.21,70.35,MMG ,D
1961,3.05,0.74950662162393,62.06,76.65,MMG ,N
1999,2.49,0.76262684882059,48.11,70.17,MMG ,D
1946,3.13,0.749726594435604,36.74,69.18,MMG ,D
1970,3.11,0.751579783483477,71.29,75.02,MMG ,D
1973,3.05,0.740020508994434,65.11,73.68,MMG ,S
1966,3.09,0.760960614662802,78.89,76.08,TVN,N
1974,3.11,0.769583746371918,67.10,75.51,TVN,D
2013,2.47,0.768820931557091,70.36,71.67,TVN,D
2019,2.51,0.776774273996156,83.78,71.05,TVN,D
1995,2.50,0.775052690405617,64.30,71.26,TVN,D
1979,3.13,0.749683203397806,77.82,72.17,TVN,D
1982,2.55,0.771211419918187,97.24,72.02,TVN,N
1975,3.11,0.772705173275913,56.86,74.76,TVN,N
2018,2.49,0.782106724942982,58.75,69.89,TVN,D
2019,2.50,0.77894591537082,48.93,69.55,TVN,D
1981,3.08,0.758517406704278,33.85,73.37,EJK,D
1985,2.52,0.750903749900345,67.02,74.83,EJK,D
1989,2.51,0.747872058445688,81.99,74.06,EJK,N
2001,2.45,0.755190668841728,62.75,74.22,EJK,D
2005,2.50,0.746660267068984,50.81,76.90,EJK,D
2012,2.42,0.752109853383238,60.52,73.04,EJK,N
2014,2.48,0.761952458219128,66.81,71.44,EJK,D
2017,2.51,0.758138217539453,64.58,71.20,EJK,D
2018,2.49,0.758686721383924,63.67,72.01,EJK,D
2019,2.49,0.75965180449078,67.30,71.71,EJK,D
1888,3.02,0.792328934481845,65.50,78.12,JPW,N
1940,2.96,0.788696647109574,70.89,78.30,JPW,N
1956,3.08,0.780824982945957,57.76,76.43,JPW,D
1945,3.02,0.780853888696818,48.45,77.61,JPW,N
1966,3.12,0.779436003385034,86.90,75.85,JPW,N
1995,2.48,0.781497544285474,95.72,74.61,JPW,D
2003,2.52,0.788602815629263,89.07,73.95,JPW,D
1995,2.49,0.78282265903417,64.50,74.29,JPW,D
1995,2.48,0.783034208332072,67.38,73.13,JPW,D
1966,3.07,0.772956229602159,53.23,75.97,JPW,N
2019,2.53,0.747536064980037,142.89,71.63,IDR,D
2020,2.50,0.739279852563726,143.71,71.41,IDR,D
2020,2.53,0.738359054985128,135.44,71.55,IDR,D
2020,2.49,0.740614400096836,137.19,71.52,IDR,D
2020,2.49,0.741595778152965,139.13,71.86,IDR,D
2020,2.51,0.742833630039902,157.65,71.20,IDR,D
2020,2.49,0.736043583856704,152.99,71.56,IDR,D
2020,2.50,0.735029042140225,146.21,71.60,IDR,D
2020,2.49,0.736204513560869,141.76,70.86,IDR,D
2020,2.51,0.494422181823148,142.66,71.19,IDR,D
2016,2.49,0.756268335629177,80.91,71.17,AKH,D
1951,2.94,0.749352222972312,67.80,75.66,AKH,N
2014,2.49,0.741230366969411,79.92,71.32,AKH,D
1989,2.50,0.736357410267895,71.32,72.34,AKH,D
1979,3.12,0.739693027395681,67.22,74.60,AKH,N
2017,2.47,0.742147132085403,53.88,72.48,AKH,D
2014,2.52,0.745945197776942,51.09,73.79,AKH,D
1981,3.02,0.741972503721567,57.96,74.62,AKH,D
2015,2.49,0.743917670702776,51.35,68.43,AKH,D
1999,2.50,0.734604567283627,56.04,71.79,AKH,D
2009,2.50,0.746941025008049,90.24,70.25,VTT,D
2002,2.50,0.751867478777649,178.58,74.83,VTT,D
1980,3.09,0.738557942340753,103.64,73.80,VTT,D
1998,2.49,0.749881030010333,101.81,73.24,VTT,D
1977,3.10,0.768067809167333,60.30,75.71,VTT,D
1981,3.07,0.752040822592577,80.52,75.22,VTT,N
2004,2.50,0.74394523431249,110.81,72.56,VTT,D
1986,2.51,0.741389552899996,66.93,73.61,VTT,D
2001,2.49,0.751720950044539,75.84,73.97,VTT,D
1996,2.49,0.765803363736776,64.99,74.06,VTT,D
1999,2.48,0.753596117315432,121.73,73.05,ZKP,D
1997,2.51,0.632956738515145,78.59,73.36,ZKP,D
2003,2.48,0.730658560031926,144.16,73.34,ZKP,D
1945,3.13,0.719359401832363,72.12,75.41,ZKP,N
1975,3.10,0.742675650098902,71.27,71.83,ZKP,N
2004,2.49,0.752984118356495,81.17,71.81,ZKP,D
1993,2.50,0.735791352076049,101.51,72.08,ZKP,D
1982,3.05,0.647163125522549,72.72,72.97,ZKP,N
1976,3.09,0.727777229512284,74.50,73.92,ZKP,N
1995,2.49,0.738454502545178,67.67,71.10,ZKP,D
1992,2.47,0.72122701357956,100.13,73.43,AMP,D
2016,2.51,0.740201140364644,92.07,72.83,AMP,D
1970,3.08,0.732557963973275,67.29,78.33,AMP,N
2019,2.51,0.748340238542123,61.70,71.24,AMP,D
2014,2.50,0.735932555124974,48.28,75.12,AMP,D
1977,3.12,0.737484316594162,58.35,75.00,AMP,D
2019,2.49,0.757887837388059,76.03,69.75,AMP,D
2003,2.53,0.755143704137894,76.93,72.64,AMP,D
1976,3.08,0.710083010302086,50.87,79.22,AMP,D
2017,2.48,0.764017618888863,50.22,73.32,AMP,D
1993,2.48,0.724326410926514,103.87,72.44,QMB,D
2006,2.47,0.734616077224311,94.64,70.21,QMB,N
2002,2.46,0.721156126767573,67.69,74.63,QMB,D
2017,2.50,0.746986159726468,64.33,67.63,QMB,D
1994,2.48,0.722113971036574,59.39,75.02,QMB,N
2018,2.48,0.742209275735466,131.56,71.14,QMB,D
1976,3.08,0.733899282130129,68.50,74.88,QMB,D
2020,2.50,0.745429499184039,80.62,68.88,QMB,D
2013,2.50,0.750547445613272,57.33,70.61,QMB,D
1990,2.46,0.739805249965808,53.06,71.06,QMB,D
2014,2.51,0.752531742892332,52.32,72.52,AAKN,D
2006,2.52,0.73837794819163,54.20,72.16,AAKN,D
1999,2.47,0.748580909663578,58.97,72.25,AAKN,N
2018,2.50,0.768275850370389,51.31,71.44,AAKN,D
1989,2.48,0.646654912596702,40.10,74.56,AAKN,D
1930,2.96,0.728595853206731,37.12,76.38,AAKN,D
1981,3.11,0.755914216394087,42.84,76.07,AAKN,D
1972,3.12,0.756642455248942,55.38,76.87,AAKN,D
1965,3.03,0.694862993501716,40.48,77.21,AAKN,N
1982,3.06,0.650960001157817,37.22,76.62,AAKN,D
